year,   nr
2023,	88008
2022,	5490
2021,	86148
2020,	72897
2019,	26590
2018,	3347
2017,	71198
2016,	66513
2015,	79140
2014,	13437
2013,	62246
2012,	76058
2011,	58268
2010,	79250
2009,	78294
2008,	32365
2007,	6381
2006,	20297
2005,	20085
2004,	54600
2003,	42473
2002,	8103
2001,	18795
2000,	49740
1999,	65379
1998,	21856
1997,	43728
1996,	56169
1995,	45495
1994,	49595
1993,	47884
1992,	31466
1991,	47996
1990,	32522
1989,	61714
1988,	21583
1987,	20064
1986,	3772
1985,	63369
1984,	50076
1983,	53288
1982,	21515
1981,	23786
1980,	60076
1979,	40286
1978,	15640
1977,	34571
1976,	49764
1975,	47107
1974,	12176
1973,	34739
1972,	42435
1971,	23238
1970,	19381
1969,	14855
1968,	57150
1967,	43758
1966,	48677
1965,	49873
1964,	20426
1963,	19936
1962,	675
1961,	24964
1960,	2365
1959,	36600
1958,	33704
1957,	53414
1956,	15640
1955,	50580
1954,	53584
1953,	3270
1952,	25766
1951,	2704
1950,	45749
1949,	55666
1948,	26664
1947,	35920
1946,	45590
1945,	42587
1944,	33037
1943,	34545
1942,	9029
1941,	58856
1940,	43944
1939,	13093
1938,	36758
1937,	1165
1936,	5287
1935,	25888
1934,	2686
1933,	7139
1932,	29757
1931,	24717
1930,	24630
1929,	53453
1928,	6692
1927,	10123
1926,	17229
1925,	11519
1924,	15770
1923,	18398
1922,	46460
1921,	28876
1920,	9053
1919,	53452
1918,	5605
1917,	2091
1916,	19158
1915,	48685
1914,	50047
1913,	18073
1912,	10644
1911,	3884
1910,	22101
1909,	24056
1908,	35819
1907,	2048
1906,	34746
1905,	32865
1904,	15162
1903,	20297
1902,	28038
1901,	30565
1900,	25285
1899,	12515
1898,	52761
1897,	13515
1896,	8669
1895,	25444
1894,	8653
1893,	31892
1892,	40297
1891,	33558
1890,	15020
1889,	45400
1888,	4211
1887,	24566
1886,	6695
1885,	45488
1884,	14292
1883,	38608
1882,	6679
1881,	17057
1880,	35999
1879,	25018
1878,	6157
1877,	12797
1876,	21690
1875,	7932
1874,	9452
1873,	10014
1872,	16374
1871,	9457
1870,	9914
1869,	18875
1868,	4385
1867,	14985
1866,	615
1865,	1603
1864,	18968
1863,	3224
1862,	4036
1861,	23033
1860,	20563
1859,	18400
1858,	12085
1857,	2147
1856,	13094
1855,	15406
1854,	14938
1853,	16673
1852,	11528
1851,	12105
1850,	12223
1849,	12724
1848,	1474
1847,	13656
1846,	4457
1845,	13046
1844,	7312
1843,	9975
1842,	5228
1841,	6585
1840,	1660
1839,	1833
1838,	6094
1837,	10998
1836,	7102
1835,	7175
1834,	9703
1833,	7589
1832,	8318
1831,	1490
1830,	2652
1829,	2127
1828,	523
1827,	6835
1826,	14544
1825,	9275
1824,	2124
1823,	1879
1822,	9311
1821,	8364
1820,	2457
1819,	15389
1818,	8705
1817,	32026
1816,	34503
1815,	33466
1814,	23892
1813,	8553
1812,	3604
